min_salary,max_salary,vacany,description,min_expense,max_expense
92194,119610,1,IT Consulting & Other Services,92194.0,119611.0
76864,95000,1,Research & Consulting Services,76864.0,95001.0
81571,119554,1,Human Resource & Employment Services,81571.0,119555.0
99113,126688,1,Diversified Support Services,99113.0,126689.0
58700,110000,1,Health Care Services,58700.0,110001.0
80000,90000,1,Research & Consulting Services,80000.0,90001.0
97743,104745,1,Health Care Services,97743.0,104746.0
212209,261089,1,Research & Consulting Services,212209.0,261090.0
65000,75000,1,Construction & Engineering,65000.0,75001.0
71255,81943,1,Research & Consulting Services,71255.0,81944.0
79620,117541,2,Research & Consulting Services,159240.0,117543.0
55816,64188,1,Health Care Services,55816.0,64189.0
63228,78529,1,Research & Consulting Services,63228.0,78530.0
59116,67983,5,Research & Consulting Services,295580.0,67988.0
555.84,555.84,5,Construction & Engineering,2779.2000000000003,560.84
45040,62215,1,Research & Consulting Services,45040.0,62216.0
63962,75000,1,Life Sciences Tools & Services,63962.0,75001.0
86185,99113,1,Diversified Support Services,86185.0,99114.0
56181,68034,7,Research & Consulting Services,393267.0,68041.0
60718,90773,1,Research & Consulting Services,60718.0,90774.0
195000,225000,1,Health Care Services,195000.0,225001.0
72038,192152,1,Construction & Engineering,72038.0,192153.0
58682,127720,1,Research & Consulting Services,58682.0,127721.0
68202,78432,1,Construction & Engineering,68202.0,78433.0
97187,220000,1,Research & Consulting Services,97187.0,220001.0
180000,190000,1,Research & Consulting Services,180000.0,190001.0
88026,101230,2,Construction & Engineering,176052.0,101232.0
