min_salary,max_salary,vacany,description,min_expense,max_expense
7200.0,9600.0,1,Human Resource & Employment Services,7200.0,9601.0
4200.0,8400.0,0,IT Consulting & Other Services,0.0,8400.0
1200.0,6000.0,1,Advertising,1200.0,6001.0
24000.0,27000.0,0,Systems Software,0.0,27000.0
960.0,1500.0,0,Health Care Technology,0.0,1500.0
6000.0,15600.0,10,IT Consulting & Other Services,60000.0,15610.0
3600.0,8400.0,10,Human Resource & Employment Services,36000.0,8410.0
3600.0,6000.0,1,Advertising,3600.0,6001.0
2100.0,3000.0,0,Life Sciences Tools & Services,0.0,3000.0
9600.0,21600.0,0,Systems Software,0.0,21600.0
3600.0,8400.0,1,IT Consulting & Other Services,3600.0,8401.0
4800.0,7200.0,0,Regional Banks,0.0,7200.0
7200.0,18000.0,3,Systems Software,21600.0,18003.0
4800.0,8400.0,1,Systems Software,4800.0,8401.0
42000.0,48000.0,0,Systems Software,0.0,48000.0
4200.0,8400.0,0,Health Care Technology,0.0,8400.0
4800.0,7200.0,0,Semiconductors,0.0,7200.0
3600.0,6000.0,0,Research & Consulting Services,0.0,6000.0
18000.0,24000.0,0,Systems Software,0.0,24000.0
12000.0,21600.0,0,Systems Software,0.0,21600.0
9600.0,14400.0,0,Systems Software,0.0,14400.0
3900.0,5700.0,30,Human Resource & Employment Services,117000.0,5730.0
10800.0,15600.0,1,Research & Consulting Services,10800.0,15601.0
10800.0,15600.0,1,Human Resource & Employment Services,10800.0,15601.0
3300.0,4200.0,0,Data Processing & Outsourced Services,0.0,4200.0
24000.0,42000.0,0,Systems Software,0.0,42000.0
2400.0,5700.0,0,Data Processing & Outsourced Services,0.0,5700.0
9600.0,16800.0,0,Systems Software,0.0,16800.0
14400.0,26400.0,0,Systems Software,0.0,26400.0
4800.0,10800.0,5,Systems Software,24000.0,10805.0
3600.0,7800.0,10,Health Care Technology,36000.0,7810.0
14400.0,20400.0,1,IT Consulting & Other Services,14400.0,20401.0
9600.0,14400.0,1,Communications Equipment,9600.0,14401.0
8400.0,20400.0,0,IT Consulting & Other Services,0.0,20400.0
2400.0,3600.0,3,Commodity Chemicals,7200.0,3603.0
1200.0,4800.0,0,Systems Software,0.0,4800.0
14400.0,18000.0,0,Advertising,0.0,18000.0
18000.0,18000.0,0,Research & Consulting Services,0.0,18000.0
